PassengerId,Survived
892,0.100678951
893,0.372259814
894,0.118966455
895,0.093573517
896,0.551639448
897,0.145754822
898,0.664267355
899,0.198597479
900,0.777578266
901,0.083737459
902,0.08721965
903,0.325366395
904,0.935897773
905,0.069867062
906,0.852379855
907,0.890239024
908,0.277146121
909,0.173290133
910,0.562298759
911,0.551817558
912,0.314838061
913,0.140457887
914,0.937221242
915,0.617034519
916,0.814834098
917,0.034335724
918,0.958372258
919,0.165140906
920,0.369127876
921,0.097487155
922,0.110439171
923,0.221283167
924,0.388332315
925,0.44462351
926,0.547033536
927,0.187573045
928,0.605247479
929,0.659100364
930,0.100339375
931,0.08721965
932,0.076232534
933,0.481972463
934,0.056685341
935,0.826610146
936,0.86184426
937,0.100339375
938,0.446653908
939,0.121626205
940,0.870362535
941,0.402898925
942,0.486062282
943,0.367250839
944,0.795448329
945,0.840384397
946,0.349478551
947,0.100948985
948,0.070438371
949,0.100339375
950,0.074127683
951,0.944370518
952,0.131901816
953,0.229055264
954,0.127538689
955,0.729400282
956,0.548836718
957,0.842605739
958,0.758813988
959,0.316940184
960,0.581010295
961,0.575686214
962,0.713874956
963,0.115183558
964,0.586635835
965,0.604332663
966,0.94636654
967,0.566833836
968,0.08721965
969,0.780279481
970,0.242991083
971,0.713874956
972,0.198443273
973,0.152157065
974,0.30044652
975,0.08721965
976,0.325907685
977,0.114195879
978,0.689615903
979,0.68465383
980,0.689615903
981,0.385220915
982,0.609153286
983,0.08721965
984,0.886301385
985,0.08721965
986,0.636182116
987,0.100339375
988,0.653054945
989,0.08721965
990,0.667730722
991,0.075671086
992,0.915627086
993,0.231959925
994,0.121626205
995,0.096903746
996,0.714139199
997,0.090346287
998,0.15870338
999,0.121626205
1000,0.08721965
1001,0.333620006
1002,0.25253253
1003,0.689615903
1004,0.944370518
1005,0.755259406
1006,0.756754014
1007,0.164734637
1008,0.13334526
1009,0.734773781
1010,0.533366428
1011,0.805895986
1012,0.905297102
1013,0.103957894
1014,0.936646463
1015,0.090346287
1016,0.121626205
1017,0.640477303
1018,0.111302543
1019,0.609345264
1020,0.167958007
1021,0.1038828
1022,0.078419299
1023,0.372054733
1024,0.373214327
1025,0.114195879
1026,0.052690666
1027,0.1038828
1028,0.144912946
1029,0.272545858
1030,0.641523935
1031,0.012507263
1032,0.432202989
1033,0.922111891
1034,0.152015643
1035,0.257491582
1036,0.360173403
1037,0.049453055
1038,0.481972463
1039,0.111302543
1040,0.481972463
1041,0.175131119
1042,0.956802646
1043,0.13334526
1044,0.027502528
1045,0.402898925
1046,0.051657392
1047,0.1038828
1048,0.932516234
1049,0.641523935
1050,0.360173403
1051,0.498278719
1052,0.689615903
1053,0.192366801
1054,0.847664144
1055,0.08721965
1056,0.173429022
1057,0.513169637
1058,0.418203087
1059,0.060110546
1060,0.960061986
1061,0.650363218
1062,0.08721965
1063,0.142534623
1064,0.091701197
1065,0.13334526
1066,0.015790938
1067,0.841395591
1068,0.875261828
1069,0.323234832
1070,0.650334228
1071,0.78187843
1072,0.242991083
1073,0.421083671
1074,0.94656051
1075,0.121626205
1076,0.940829011
1077,0.179039901
1078,0.842001606
1079,0.0963887
1080,0.188377101
1081,0.179039901
1082,0.187271425
1083,0.481972463
1084,0.110563051
1085,0.123077693
1086,0.318878355
1087,0.075671086
1088,0.694299139
1089,0.68465383
1090,0.296131191
1091,0.605247479
1092,0.689615903
1093,0.152795627
1094,0.38499871
1095,0.880669512
1096,0.280276091
1097,0.599702393
1098,0.619897174
1099,0.288138732
1100,0.95015751
1101,0.100339375
1102,0.078419299
1103,0.08721965
1104,0.346631258
1105,0.556103346
1106,0.235370517
1107,0.360173403
1108,0.689615903
1109,0.17254108
1110,0.867305792
1111,0.08721965
1112,0.865445562
1113,0.115183558
1114,0.866574296
1115,0.115183558
1116,0.897957091
1117,0.606071836
1118,0.107536402
1119,0.689615903
1120,0.057727629
1121,0.202901179
1122,0.373337463
1123,0.94955989
1124,0.098346365
1125,0.121626205
1126,0.460290814
1127,0.119181752
1128,0.244999771
1129,0.178897491
1130,0.833726314
1131,0.899447886
1132,0.890652726
1133,0.624595995
1134,0.348068812
1135,0.08721965
1136,0.047522537
1137,0.328971229
1138,0.866574296
1139,0.117791934
1140,0.805895986
1141,0.674116586
1142,0.884523397
1143,0.119181752
1144,0.575578041
1145,0.1038828
1146,0.077033961
1147,0.08721965
1148,0.121626205
1149,0.090346287
1150,0.879420906
1151,0.115183558
1152,0.056527822
1153,0.115183558
1154,0.755382243
1155,0.734773781
1156,0.340743288
1157,0.08721965
1158,0.481972463
1159,0.08721965
1160,0.605247479
1161,0.131901816
1162,0.437121855
1163,0.121626205
1164,0.954411488
1165,0.650546566
1166,0.13334526
1167,0.854634731
1168,0.257491582
1169,0.154498249
1170,0.211946524
1171,0.304250594
1172,0.641523935
1173,0.158491057
1174,0.689615903
1175,0.766048882
1176,0.727173294
1177,0.067949229
1178,0.08721965
1179,0.486062282
1180,0.13334526
1181,0.08721965
1182,0.481972463
1183,0.664267355
1184,0.13334526
1185,0.195742748
1186,0.067949229
1187,0.096903746
1188,0.924788127
1189,0.097487155
1190,0.472330055
1191,0.08721965
1192,0.078419299
1193,0.349478551
1194,0.132932192
1195,0.1038828
1196,0.689615903
1197,0.702630554
1198,0.318518243
1199,0.183066394
1200,0.183858545
1201,0.390495182
1202,0.127538689
1203,0.167822609
1204,0.08721965
1205,0.601521491
1206,0.890652726
1207,0.765816888
1208,0.298406001
1209,0.329337448
1210,0.093573517
1211,0.234890198
1212,0.096903746
1213,0.152246013
1214,0.272545858
1215,0.443554727
1216,0.903739575
1217,0.107536402
1218,0.841215202
1219,0.437121855
1220,0.218474172
1221,0.31249378
1222,0.597040185
1223,0.504427311
1224,0.13334526
1225,0.689892817
1226,0.093573517
1227,0.472330055
1228,0.229055264
1229,0.061161269
1230,0.280276091
1231,0.13334526
1232,0.337930193
1233,0.078419299
1234,0.009442331
1235,0.851322763
1236,0.05944577
1237,0.701100841
1238,0.272545858
1239,0.617412025
1240,0.288138732
1241,0.82100026
1242,0.904433268
1243,0.280276091
1244,0.337930193
1245,0.074431662
1246,0.693089464
1247,0.292385973
1248,0.752630192
1249,0.08721965
1250,0.121626205
1251,0.533584871
1252,0.024708562
1253,0.864915042
1254,0.82100026
1255,0.093573517
1256,0.956063994
1257,0.132662347
1258,0.114195879
1259,0.650363218
1260,0.904433268
1261,0.349478551
1262,0.275804725
1263,0.953693634
1264,0.30044652
1265,0.157430504
1266,0.776671112
1267,0.92300835
1268,0.566325028
1269,0.31249378
1270,0.254058657
1271,0.069082443
1272,0.121626205
1273,0.134567304
1274,0.605247479
1275,0.636385241
1276,0.250171331
1277,0.758395548
1278,0.1038828
1279,0.101566201
1280,0.15870338
1281,0.097423812
1282,0.539857228
1283,0.823349531
1284,0.099521205
1285,0.142653115
1286,0.042485901
1287,0.94656051
1288,0.143826907
1289,0.875952513
1290,0.111302543
1291,0.113606234
1292,0.930042862
1293,0.164868037
1294,0.958372258
1295,0.596686389
1296,0.4221928
1297,0.432055879
1298,0.260634936
1299,0.305594593
1300,0.689615903
1301,0.719438168
1302,0.689615903
1303,0.92489904
1304,0.595976174
1305,0.08721965
1306,0.937955499
1307,0.06207915
1308,0.08721965
1309,0.092369696
